site,Slot 00,Slot 01,Slot 02,Slot 03,Slot 04,Slot 05
FLA0118,,,,,UBBPg3b,
FLA0231,,,,,UBBPg3b,
FLA0194,,,,,UBBPg3a,
FLA0165,,,,,UBBPg3b,
FLA0196,,,,,UBBPg3b,
FLA0237,,,UBBPg2c,,UBBPg3b,
FLA0225,,,,,UBBPg3b,
FLA0168,,,,,UBBPg3b,
CVL0003,,,,,UBBPg3a,
FLA0182,,,,,UBBPg3b,
FLA0121,,,,,UBBPg3b,
FLA0185,,,,,UBBPg3b,
FLA0156,,,,,UBBPg3b,
RUS0005,,,UBBPg2c,,UBBPg3b,
FLA0081,,,,,UBBPg3b,
FLA0175,,,,,UBBPg3b,
PWB0007,,,,,UBBPg2c,
FLA0245,,,,,UBBPg3b,
FLA0236,,,,,UBBPg3b,
FLA0104,,,,,UBBPg3b,
FLA0183,,,UBBPg2a,,UBBPg3b,
FLA0070,,,,,UBBPg3b,
SOI0001,,,UBBPg2c,,UBBPg3b,
FLA0051,,,,,UBBPg3b,
GRN0001,,,,,UBBPg3b,
FLA0239,,,,,UBBPg3b,
FLA0028,,,,,UBBPg3a,
FLA0150,,,,,UBBPg3b,
FLA0082,,,,,UBBPg3b,
NSF0002,,,,,UBBPg2c,
CUC0038,,,,,UBBPg2c,
CWX0001,,,UBBPg2c,,UBBPg3b,
CWX0002,,,UBBPg2c,,UBBPg3b,
FLA0195,,,,,UBBPg3a,
FLA0122,,,UBBPg2a,,UBBPg3b,
FLA0022,,,,,UBBPg3b,
FLA0228,,,,,UBBPg3b,
FLA0242,,,,,UBBPg3b,
CUC0028,,,,,UBBPg3b,
MUE0003,,,UBBPg3b,,UBBPg3b,
FLA0176,,,,,UBBPg3b,
FLA0177,,,,,UBBPg3b,
FLA0223,,,,,UBBPg3b,
FLA0061,,,UBBPg3a,,UBBPg3b,
AXD0001,,,UBBPg2c,,UBBPg3b,
FLA0076,,,,,UBBPg3b,
FLA0174,,,,,UBBPg3a,
CVL0005,,,UBBPg2c,,UBBPg3b,
FLA0114,,,,,UBBPg3b,
AUS0001,,,UBBPg2c,,UBBPg3b,
FLA0244,,,,,UBBPg3b,
FLA0200,,,UBBPg2c,,UBBPg3b,
FLA0062,,,,,UBBPg3b,
FLA0059,,,,,UBBPg3b,
ESB0002,,,,,UBBPg3a,
FLA0163,,,,,UBBPg3b,
ACX0001,,,UBBPg2c,,UBBPg3b,
AXD0002,,,UBBPg2c,,UBBPg3b,
FLA0155,,,,,UBBPg3b,
CUC0008,,,,,UBBPg3b,
FLA0173,,,,,UBBPg3b,
FLA0158,,,,,UBBPg3b,
CUC0034,,,UBBPg2c,,UBBPg3b,
CEA0001,,,UBBPg2c,,UBBPg3b,
NSF0001,,,,,UBBPg2c,
PUJ0001,,,,,UBBPg2c,
AIB0001,,,UBBPg2c,,UBBPg3b,
ARX0001,,,UBBPg2c,,UBBPg3b,
FLA0119,,,,,UBBPg3a,
FLA0060,,,,,UBBPg3b,
FLA0058,,,,,UBBPg3b,
FLA0067,,,,,UBBPg3b,
FLA0187,,,,,UBBPg3b,
FLA0157,,,,,UBBPg3b,
CUC0035,,,UBBPg2c,,UBBPg3b,
GABR0001,,,UBBPg2c,,,
FLA0006,,,,,UBBPg3b,
CUC0044,,,UBBPg2c,,UBBPg2c,
FLA0188,,,,,UBBPg3a,
FLA0233,,,,,UBBPg3b,
FLA0020,,,,,UBBPg3b,
CUC0039,,,UBBPg2c,,UBBPg3b,
CUC0036,,,UBBPg2c,,UBBPg3b,
MRT0001,,,UBBPg2a,,UBBPg3b,
FLA0160,,,,,UBBPg3b,
FLA0199,,,UBBPg2c,,UBBPg3b,
MAC0001,,,UBBPg2a,,UBBPg3b,
FLA0068,,,,,UBBPg3a,
FLA0171,,,,,UBBPg3a,
AQZ0007-AQZ0012,,,UBBPg2c,,UBBPg3b,
FLA0069,,,,,UBBPg3b,
FLA0032,,,,,UBBPg3b,
FLA0218,,,,,UBBPg3b,
FLA0238,,,,,UBBPg3b,
FLA0124,,,,,UBBPg3b,
FLA0007,,,,,UBBPg3a,
ACA0007,,,,,UBBPg3b,
FLA0002,,,,,UBBPg3b,
FLA0154,,,,,UBBPg3b,
FLA0110,,,,,UBBPg3b,
FLA0023,,,,,UBBPg3b,
FLA0144,,,,,UBBPg3b,
CMS0001,,,,,UBBPg3b,
FLA0044,,,,,UBBPg3b,
FLA0210,,,,,UBBPg3b,
FLA0179,,,,,UBBPg3b,
FLA0167,,,,,UBBPg3b,
BCZ0001,,,,,UBBPg3b,
ACA0004,,,,,UBBPg3a,
TLG0001,,,UBBPg2c,,UBBPg3b,
ACA0005,,,,,UBBPg3a,
FLA0220,,,,,UBBPg3b,
FLA0170,,,,,UBBPg3b,
FLA0033,,,,,UBBPg3b,
FLA0043,,,UBBPg2a,,UBBPg3b,
FLA0014,,,,,UBBPg3b,
FLA0078,,,,,UBBPg3a,
ESB0005,,,,,UBBPg3b,
ACA0002,,,,,UBBPg3b,
FLA0034,,,,,UBBPg3b,
AQZ0005,,,,,UBBPg3b,
FLA0072,,,,,UBBPg3b,
IAGA0001,,,,,UBBPg3b,
IAGA0002,,,,,UBBPg3b,
FLA0036,,,,,UBBPg3b,
RUS0003,,,,,UBBPg3b,
PTX0001,,,UBBPg2c,,UBBPg3b,
CMS0002,,,,,UBBPg3b,
CAC0001,,,UBBPg3b,,UBBPg3b,
AQZ0001,,,UBBPg2c,,UBBPg3b,
FLA0201,,,UBBPg3a,,UBBPg3b,
ACA0003,,,,,UBBPg3b,
ACA0006,,,,,UBBPg3b,
CUC0040,,,,,UBBPg3b,
CUC0041,,,UBBPg2c,,,
CUC0042,,,,,UBBPg2c,
ESB0007,,,,,UBBPg3b,
FLA0004,,,,,UBBPg3b,
FLA0025,,,,,UBBPg3b,
FLA0046,,,,,UBBPg3b,
FLA0026,,,,,UBBPg3b,
FLA0039,,,,,UBBPg3b,
FLA0066,,,,,UBBPg3b,
FLA0084,,,UBBPg3b,,UBBPg3b,
FLA0086,,,UBBPg3b,,UBBPg3b,
FLA0107,,,,,UBBPg3b,
FLA0126,,,,,UBBPg3b,
FLA0131,,,,,UBBPg3b,
FLA0162,,,,,UBBPg3b,
FLA0197,,,,,UBBPg3b,
FLA0232,,,,,UBBPg3b,
FRG0001,,,,,UBBPg2c,
IAGA0003,,,UBBPg2a,,UBBPg3b,
IAGA0004,,,,,UBBPg3a,
ICN0001,,,,,UBBPg3b,
LNT0006,,,UBBPg2c,,UBBPg3b,
RFG0001,,,UBBPg2c,,UBBPg3b,
FLA0040,,,,,UBBPg3b,
SMU0003-SMU0006,,,,,UBBPg2c,
SBN0002,,,UBBPg2c,,UBBPg3b,
FLA0077,,,,,UBBPg3b,
FLA0063,,,,,UBBPg3b,
FLA0113,,,,,UBBPg3b,
TIG0001,,,,,UBBPg3b,
CUC0043,,,,,UBBPg2c,
FLA0234,,,,,UBBPg3a,
AQZ0009,,,,,UBBPg3b,
FLA0222,,,UBBPg3b,,UBBPg3b,
CIE0001,,,,,UBBPg3a,
MSS0001,,,,,UBBPg3b,
MSS0002,,,UBBPg2c,,UBBPg3b,
FLA0009,,,,,UBBPg3b,
MCW0001,,,,,UBBPg3b,
SNQ0002,,,,,UBBPg3b,
FLA0094,,,,,UBBPg3b,
FBO0001,UBBPg2c,,,,UBBPg3b,
CIE0005,,,UBBPg2c,,UBBPg3b,
MRO0018,,,UBBPg2c,,UBBPg3b,
MRO0026,,,,,UBBPg3b,
MRO0025,,,,,UBBPg3b,
MRO0027,,,,,UBBPg2c,
MRO0028,,,,,UBBPg3b,
MRO0029,,,,,UBBPg3b,
MRO0035,,,UBBPg2c,,UBBPg3b,
FLA0149,,,UBBPg2a,,UBBPg3b,
MRO0009,,,,,UBBPg3b,
MRO0020,,,,,UBBPg3b,
MRO0023,,,,,UBBPg3b,
MRO0039,,,,,UBBPg3b,
NID0001,,,,,UBBPg3b,
MRO0008,,,,,UBBPg3b,
BBB0001,,,,,UBBPg3b,
FLA0073,,,,,UBBPg3b,
FLA0153,,,,,UBBPg3b,
QXE0001,,,,,UBBPg2c,
MRO0003,,,,,UBBPg3b,
FLA0207,,,,,UBBPg3b,
FLA0048,,,,,UBBPg3b,
CTS0001,,,,,UBBPg3a,
CTS0003,,,,,UBBPg3a,
FLA0111,,,,,UBBPg3b,
FLA0064,,,UBBPg3a,,UBBPg3b,
POE0002,,,UBBPg2c,,UBBPg3b,
FLA0065,,,,,UBBPg3b,
SOL0013,,,UBBPg2c,,UBBPg3b,
POE0001,,,,,UBBPg3b,
TIG0002,,,,,UBBPg3b,
MRO0007,,,,,UBBPg3b,
MRO0024,,,,,UBBPg3b,
CSS0004,,,,,UBBPg3b,
MRO0016-MRO0057,,,UBBPg3a,,UBBPg3b,
MRO0001-MRO0056-MRO0058,UBBPg2c,,UBBPg2c,,UBBPg3b,
MRO0002,,,,,UBBPg3b,
MRO0019,,,,,UBBPg3b,
MRO0032,,,,,UBBPg3b,
MRO0030,,,,,UBBPg3b,
MRO0005,,,,,UBBPg3b,
SOL0012,,,UBBPg2c,,UBBPg3b,
SOL0009,,,,,UBBPg3b,
MRO0037,,,UBBPg2c,,UBBPg3b,
CUC0013,,,,,UBBPg3a,
FLA0226,,,,,UBBPg3b,
BBB0012,,,,,UBBPg2c,
SOL0004,,,UBBPg3b,,UBBPg3a,
MASA0001,,,,,UBBPg2c,
MRO0038,,,UBBPg2c,,UBBPg3b,
MRO0011,,,,,UBBPg3b,
VJT0001,,,,,UBBPg3b,
SOL0011,,,,,UBBPg3b,
SOL0016,,,,,UBBPg2c,
FLA0091,,,UBBPg3b,,UBBPg3b,
MRO0036,,,UBBPg2c,,UBBPg3b,
MRO0022,,,,,UBBPg3b,
SOL0014,,,,,UBBPg3b,
SOL0015,,,,,UBBPg3b,
MRO0033,,,,,UBBPg3b,
BBB0004,,,,,UBBPg2c,
BBB0006,,,,,UBBPg2c,
BBB0010,,,,,UBBPg2c,
BBB0013,,,,,UBBPg2c,
CSS0003,,,UBBPg2c,,UBBPg3b,
FLA0097,,,,,UBBPg3b,
FLA0241,,,,,UBBPg3b,
FRQ0002,,,UBBPg2c,,UBBPg3b,
MUE0012,,,,,UBBPg3b,
TIG0005,,,UBBPg2c,,UBBPg3b,
MAH0002,,,,,UBBPg2c,
BBB0005,,,,,UBBPg2c,
CUC0031,,,,,UBBPg3b,
FAD0001,,,UBBPg2c,,,
IUE0002,,,,,UBBPg2c,
LVM0003,,,,,UBBPg2c,
JNE0034,,,,,UBBPg3b,
MUE0007,,,UBBPg2c,,UBBPg3b,
MRO0006,,,,,UBBPg3b,
AUR0001,,,,,UBBPg3b,
BBB0008,,,UBBPg2c,,UBBPg3b,
CUC0032,,,,,UBBPg2c,
UNM0001,,,UBBPg2c,,UBBPg3b,
FLA0089,,,,,UBBPg3b,
MCW0010,,,,,UBBPg3b,
JNE0037,,,,,UBBPg2c,
MRO0031,,,,,UBBPg3b,
GOH0002,,,UBBPg2c,,UBBPg3b,
IPZ0001,,,UBBPg2c,,UBBPg3b,
UZL0001,,,,,UBBPg3a,
PLK0001,,,UBBPg2c,,,
TIBA0001,,,,,UBBPg3b,
PUU0002-PUU0003,,,UBBPg2c,,UBBPg3b,
IAX0001,,,UBBPg2c,,UBBPg3b,
IMI0001,,,UBBPg2c,,UBBPg3b,
OAB0001,,,UBBPg2c,,UBBPg3b,
AAB0001,,,,,UBBPg3b,
ABY0001,,,,,UBBPg2c,
BTT0003,,,UBBPg2c,,UBBPg3b,
JGN0001,,,,,UBBPg3b,
MUE0011,,,UBBPg2c,,UBBPg3b,
PJS0001,,,UBBPg2a,,UBBPg3b,
PTW0001,,,,,UBBPg3b,
PTY0001,,,,,UBBPg2c,
TIBA0002,,,UBBPg2c,,UBBPg3b,
QXA0007,,,,,UBBPg2c,
AQZ0003,,,UBBPg2c,,UBBPg3b,
NOE0002,,,,,UBBPg2c,
ITW0001,,,UBBPg2c,,UBBPg3b,
ABC0002,,,,,UBBPg3b,
CID0001,,,UBBPg2a,,UBBPg3b,
CZH0001,,,UBBPg2c,,UBBPg3b,
MRO0034,,,,,UBBPg3b,
PJS0007,,,,,UBBPg2c,
PJS0006,,,,,UBBPg2c,
FLA0148,,,,,UBBPg3b,
